,ID,Client,Tag,Country,Number,Strs,Type,Dety,Rest,Tent,Renew,CdsRoute
48,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,PR
49,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,SEMP
50,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,DROPE1/1
51,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,TYPE
52,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,FSTPAD
53,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,FST
54,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,FOWFELT
55,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,FPACKWINDER
56,343633,DEMPPPP,8,MAU,EXC-CF1800120/02,2.0,K-Basic with OBA,1-Light,1BLK00015A,8.0,31.19,VE
57,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,DSF
58,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,PR
59,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,DUNROLLDYE
60,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,DROPE1/1
61,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,FSLIT
62,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,FSTPAD
63,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,FST
64,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,FOWFELT
65,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,FPACKWINDER
66,343633,DEMPPPP,9,MAU,EXC-CF1805992/01,2.0,DEMPO,1-Light,SDF$45,242.0,1034.19,VE
